id,x,y,z,vx,vy,vz,radius,mass
55,0.15910032258538,0.50800201072383,0.79671987929236,0,0,-0.73575000000001,0.012,0.01737175073729
56,0.84975818966511,0.33013589281978,0.54086227148444,0,0,-0.73575000000001,0.012,0.01737175073729
57,0.70608194562052,0.80207302631899,0.6099548884852,0,0,-0.73575000000001,0.012,0.01737175073729
58,0.10586831410734,0.92995070297508,0.63626633425828,0,0,-0.73575000000001,0.012,0.01737175073729
59,0.51732531275448,0.8296050641691,0.78589387036985,0,0,-0.73575000000001,0.012,0.01737175073729
60,0.72957093708517,0.21605389900476,0.71367159777621,0,0,-0.73575000000001,0.012,0.01737175073729
61,0.69108557412966,0.23506481789699,0.51649833696346,0,0,-0.73575000000001,0.012,0.01737175073729
62,0.97059630264659,0.51623663047279,0.56269868465987,0,0,-0.73575000000001,0.012,0.01737175073729
63,0.98434361034167,0.95424928694471,0.72273446254481,0,0,-0.73575000000001,0.012,0.01737175073729
64,0.97126930370233,0.33420783167643,0.5521898284443,-0.49835595361722,1.4231639330014,-1.2382322079874,0.012,0.01737175073729
65,0.69554924094417,0.83834127187462,0.88307505546697,0,0,-0.73575000000001,0.012,0.01737175073729
66,0.40679993137387,0.87846361189921,0.88017209506007,0,0,-0.73575000000001,0.012,0.01737175073729
67,0.92517975683932,0.77849246967159,0.78228826709483,0,0,-0.73575000000001,0.012,0.01737175073729
68,0.57875014918295,0.37534798283711,0.92816437990172,0,0,-0.73575000000001,0.012,0.01737175073729
69,0.96550249920931,0.33930271910215,0.61447006587156,0.069544757147718,1.08988330212,-0.13184930959801,0.012,0.01737175073729
70,0.4859590188208,0.44966195942538,0.95739070507468,0,0,-0.73575000000001,0.012,0.01737175073729
71,0.18370304216698,0.029641554007094,0.68808740662249,0,0,-0.73575000000001,0.012,0.01737175073729
72,0.18653096225429,0.36967353442511,0.82273632645861,0,0,-0.73575000000001,0.012,0.01737175073729
73,0.71563736193554,0.31266733590929,0.71425923311318,0,0,-0.73575000000001,0.012,0.01737175073729
74,0.50860254225028,0.6330606382766,0.55712104759553,0,0,-0.73575000000001,0.012,0.01737175073729
75,0.58771394678907,0.96739942817522,0.68423986452047,0,0,-0.73575000000001,0.012,0.01737175073729
76,0.89635241401723,0.43596890101023,0.61071477142978,0,0,-0.73575000000001,0.012,0.01737175073729
77,0.64162087726094,0.66486988196221,0.88729473678776,0,0,-0.73575000000001,0.012,0.01737175073729
78,0.23666082273018,0.49921274029862,0.73011084698803,0,0,-0.73575000000001,0.012,0.01737175073729
79,0.76210872031928,0.054557287135623,0.9574407599393,0,0,-0.73575000000001,0.012,0.01737175073729
80,0.47066584552217,0.28485089011188,0.89769237073641,0,0,-0.73575000000001,0.012,0.01737175073729
81,0.60412695308249,0.98552592152585,0.55208695353602,-1.8377546154379,-0.14988239273169,-1.3796717060722,0.012,0.01737175073729
